source_country,destination_country,gsv
Brazil,Italy,5929647
Brazil,Germany,5553531
Brazil,France,4993348
Brazil,United Kingdom,3052563
Brazil,Belgium,1920149
Brazil,Ghana,1564917
Brazil,Kenya,1530010
Brazil,Philippines,1342060
Brazil,Netherlands,1131195
Brazil,Viet Nam,1084374
Brazil,Lithuania,835463
Brazil,Senegal,407822
Brazil,South Africa,284702
Brazil,Tanzania,280194
Brazil,Austria,258978
Brazil,Guinea-Bissau,173086
Brazil,Finland,103012
Brazil,Mali,89874
Brazil,Mozambique,80869
Brazil,Uganda,65289
Brazil,Luxembourg,52389
Brazil,Ireland,50011
Brazil,Malaysia,48078
Brazil,Colombia,37353
Brazil,Gabon,31957
Brazil,Estonia,14322
Brazil,Bulgaria,12911
Brazil,Latvia,11859
Brazil,United States of America,10024
Brazil,Guinea,6520
Brazil,Benin,4377
Brazil,Egypt,3093
Brazil,Cameroon,1959
Brazil,C̫te d'Ivoire,1958
Brazil,Zimbabwe,1752
Brazil,Sierra Leone,1607
Brazil,Cyprus,1409
Brazil,Bangladesh,1127
Brazil,India,1050
Brazil,Burkina Faso,924
Brazil,"Congo, Democratic Republic of the",279
Brazil,Liberia,240
Brunei Darussalam,Malaysia,16310709
Brunei Darussalam,Bangladesh,3972216
Brunei Darussalam,India,1425307
Brunei Darussalam,Philippines,1090208
Brunei Darussalam,Thailand,621813
Brunei Darussalam,Viet Nam,110027
Brunei Darussalam,Nepal,9932
Brunei Darussalam,Italy,9226
Brunei Darussalam,Indonesia,8759
Brunei Darussalam,Sri Lanka,7256
Brunei Darussalam,Lithuania,7212
Brunei Darussalam,Netherlands,7125
Brunei Darussalam,Germany,5206
Brunei Darussalam,Spain,4965
Brunei Darussalam,Ghana,4308
Brunei Darussalam,Belgium,1272
Brunei Darussalam,Finland,664
Brunei Darussalam,Egypt,459
Brunei Darussalam,France,318
Brunei Darussalam,Kenya,203
Brunei Darussalam,Mongolia,1
Bulgaria,Germany,778888
Bulgaria,Bangladesh,652076
Bulgaria,Belgium,431226
Bulgaria,Spain,426816
Bulgaria,Viet Nam,360609
Bulgaria,Lithuania,344164
Bulgaria,Netherlands,211736
Bulgaria,Italy,187441
